___,_____,____ ______,,,,,,,,,,,,,,,,,,,,,,,
politely,______,,,,,,,,,,,,,,,,,,,,,,,,
pollute,____,,,,,,,,,,,,,,,,,,,,,,,,
pollution,_____,,,,,,,,,,,,,,,,,,,,,,,,
poor,"___, __, ____",,,,,,,,,,,,,,,,,,,,,,,,
poorly,_____ _____,,,,,,,,,,,,,,,,,,,,,,,,
populous,______ _______,,,,,,,,,,,,,,,,,,,,,,,,
porous,"_____, ______",,,,,,,,,,,,,,,,,,,,,,,,
portion,"___, ___, _____",,,,,,,,,,,,,,,,,,,,,,,,
pose,"____, _____",,,,,,,,,,,,,,,,,,,,,,,,
possession,"_____, ____ ",,,,,,,,,,,,,,,,,,,,,,,,
possess,"1. ______, _____2. _____ _____ __...",,,,,,,,,,,,,,,,,,,,,,,,
possible,_____,,,,,,,,,,,,,,,,,,,,,,,,
postpone,_____,,,,,,,,,,,,,,,,,,,,,,,,
postponement,_____,,,,,,,,,,,,,,,,,,,,,,,,
potent,"_______, ___, __-_____, ___ _____",,,,,,,,,,,,,,,,,,,,,,,,
potential,"________, _____ ______ ____",,,,,,,,,,,,,,,,,,,,,,,,
pottery,_____,,,,,,,,,,,,,,,,,,,,,,,,
pound,"___, ___",,,,,,,,,,,,,,,,,,,,,,,,
pour,"_____, _____ ",,,,,,,,,,,,,,,,,,,,,,,,
poverty,"____, ____",,,,,,,,,,,,,,,,,,,,,,,,
powerless,___ ___,,,,,,,,,,,,,,,,,,,,,,,,
practice,"1. _____, ______2. _____3. ____",,,,,,,,,,,,,,,,,,,,,,,,
praise,____,,,,,,,,,,,,,,,,,,,,,,,,
pragmatic,"_______, ____",,,,,,,,,,,,,,,,,,,,,,,,
preach,"____, ___ ____",,,,,,,,,,,,,,,,,,,,,,,,
precede,"__ ____, _____",,,,,,,,,,,,,,,,,,,,,,,,
precedence,"____ _____, _____",,,,,,,,,,,,,,,,,,,,,,,,
preclude,"_____ __ ____, ___, ___",,,,,,,,,,,,,,,,,,,,,,,,
precipitate,"____, _____",,,,,,,,,,,,,,,,,,,,,,,,
precisely,______,,,,,,,,,,,,,,,,,,,,,,,,
predator,____,,,,,,,,,,,,,,,,,,,,,,,,
predecessor,_____ ______,,,,,,,,,,,,,,,,,,,,,,,,
predict,"____, ___",,,,,,,,,,,,,,,,,,,,,,,,
predictable,____,,,,,,,,,,,,,,,,,,,,,,,,
prediction,_____,,,,,,,,,,,,,,,,,,,,,,,,
predominate,"_____, ______",,,,,,,,,,,,,,,,,,,,,,,,
preferable ,____,,,,,,,,,,,,,,,,,,,,,,,,
prejudice,___ _____,,,,,,,,,,,,,,,,,,,,,,,,
prematurely,"____ ___, _____ ____",,,,,,,,,,,,,,,,,,,,,,,,
premeditate,_____ ____,,,,,,,,,,,,,,,,,,,,,,,,
premises,"1. ____, ____2. ____ ____",,,,,,,,,,,,,,,,,,,,,,,,
prerequisite,____ _____,,,,,,,,,,,,,,,,,,,,,,,,
prescribe,"1. ____, _____2. ____ (____)",,,,,,,,,,,,,,,,,,,,,,,,
present,"1. ____2. ____, ______3. ____ ",,,,,,,,,,,,,,,,,,,,,,,,
presently,"___, _____",,,,,,,,,,,,,,,,,,,,,,,,
presidential,_______,,,,,,,,,,,,,,,,,,,,,,,,
press,"1. _____2. _______",,,,,,,,,,,,,,,,,,,,,,,,
pressing,"____, ____, ____",,,,,,,,,,,,,,,,,,,,,,,,
prestigious,______,,,,,,,,,,,,,,,,,,,,,,,,
presumptuous,______,,,,,,,,,,,,,,,,,,,,,,,,
pretend,______ ____,,,,,,,,,,,,,,,,,,,,,,,,
prevail,"_____, _____",,,,,,,,,,,,,,,,,,,,,,,,
prevent,___,,,,,,,,,,,,,,,,,,,,,,,,
previous,____,,,,,,,,,,,,,,,,,,,,,,,,
prey,___,,,,,,,,,,,,,,,,,,,,,,,,
priceless,"___ ___, __ _____ ___",,,,,,,,,,,,,,,,,,,,,,,,
pricing,_____,,,,,,,,,,,,,,,,,,,,,,,,
pride,_____,,,,,,,,,,,,,,,,,,,,,,,,
primacy,_______,,,,,,,,,,,,,,,,,,,,,,,,
primary,______,,,,,,,,,,,,,,,,,,,,,,,,
primarily,____ ________,,,,,,,,,,,,,,,,,,,,,,,,
principal,"1. ____, _____2. ____ ___-___",,,,,,,,,,,,,,,,,,,,,,,,
principle,______,,,,,,,,,,,,,,,,,,,,,,,,
prior,____,,,,,,,,,,,,,,,,,,,,,,,,
priority,"______, ______",,,,,,,,,,,,,,,,,,,,,,,,
privilege,"____ ___, _________",,,,,,,,,,,,,,,,,,,,,,,,
prize,"1. ___2. ______, ______",,,,,,,,,,,,,,,,,,,,,,,,
probable,"_____, ____ ______",,,,,,,,,,,,,,,,,,,,,,,,
process,_____,,,,,,,,,,,,,,,,,,,,,,,,
processing,_____,,,,,,,,,,,,,,,,,,,,,,,,
procure,"____, ___",,,,,,,,,,,,,,,,,,,,,,,,
produce,"1. _____, _____2. ____",,,,,,,,,,,,,,,,,,,,,,,,
proficient,"______, _____",,,,,,,,,,,,,,,,,,,,,,,,
profit,"_____, _____, ____",,,,,,,,,,,,,,,,,,,,,,,,
profitability,_______,,,,,,,,,,,,,,,,,,,,,,,,
profound,"____, _____",,,,,,,,,,,,,,,,,,,,,,,,
progressive,_____,,,,,,,,,,,,,,,,,,,,,,,,
prohibit,___,,,,,,,,,,,,,,,,,,,,,,,,
prohibition,"_____, _____",,,,,,,,,,,,,,,,,,,,,,,,
projection,"1. _____2. _____ 3._____",,,,,,,,,,,,,,,,,,,,,,,,
prominence,_______,,,,,,,,,,,,,,,,,,,,,,,,
prominent,"____, ____",,,,,,,,,,,,,,,,,,,,,,,,
promote,____,,,,,,,,,,,,,,,,,,,,,,,,
prompt,"1. _____2. ____, ____, _____, ____3. _____4. ___, _____",,,,,,,,,,,,,,,,,,,,,,,,
promptly,"______, ___ _____",,,,,,,,,,,,,,,,,,,,,,,,
propaganda,______,,,,,,,,,,,,,,,,,,,,,,,,
propensity,"_____, ____",,,,,,,,,,,,,,,,,,,,,,,,
proper,"____, _____",,,,,,,,,,,,,,,,,,,,,,,,
property,"1. ____2. _____",,,,,,,,,,,,,,,,,,,,,,,,
prophecy,"_____, ____",,,,,,,,,,,,,,,,,,,,,,,,
proposition,____,,,,,,,,,,,,,,,,,,,,,,,,
proprietor,_____,,,,,,,,,,,,,,,,,,,,,,,,
proscribe,"_____ , ______ _____",,,,,,,,,,,,,,,,,,,,,,,,
prospect,"1. _____2. _____3. ___ ",,,,,,,,,,,,,,,,,,,,,,,,
prosper,"_____, ______, _____",,,,,,,,,,,,,,,,,,,,,,,,
prosperous,"____, ____, _____, ____, _____",,,,,,,,,,,,,,,,,,,,,,,,
protest,"___, ______, _____ ",,,,,,,,,,,,,,,,,,,,,,,,
provide,____,,,,,,,,,,,,,,,,,,,,,,,,
provided that,_____ _...,,,,,,,,,,,,,,,,,,,,,,,,
provincial,"___________, _____, _____",,,,,,,,,,,,,,,,,,,,,,,,
provisions,"1. _____2. _____ (_____ _____ ____)",,,,,,,,,,,,,,,,,,,,,,,,
provocative,"__________, _____",,,,,,,,,,,,,,,,,,,,,,,,
provoke,"_____ (_____), _____, ______, _____",,,,,,,,,,,,,,,,,,,,,,,,
publish,_____,,,,,,,,,,,,,,,,,,,,,,,,
punitive,_____,,,,,,,,,,,,,,,,,,,,,,,,
purchase,"_____, _____",,,,,,,,,,,,,,,,,,,,,,,,
pure,____,,,,,,,,,,,,,,,,,,,,,,,,
purification,"____, ______, _____",,,,,,,,,,,,,,,,,,,,,,,,
purge,"____, ____ (_____ ______)",,,,,,,,,,,,,,,,,,,,,,,,
purposefully,______,,,,,,,,,,,,,,,,,,,,,,,,
pursue,"1. _____2. _____ _ (_____)",,,,,,,,,,,,,,,,,,,,,,,,
push,"_____ , _____, _____",,,,,,,,,,,,,,,,,,,,,,,,
puzzle,"1. ____, ____, ____2. ______, _____, ______",,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,Q,,,,,,,,,,,,,,,,,,,,,,,,
quake,"______, _____",,,,,,,,,,,,,,,,,,,,,,,,
qualifications,"_______, ______",,,,,,,,,,,,,,,,,,,,,,,,
qualify,"1. ______, _____ ______2. _____, _____",,,,,,,,,,,,,,,,,,,,,,,,
quality,_____,,,,,,,,,,,,,,,,,,,,,,,,
quantity,____,,,,,,,,,,,,,,,,,,,,,,,,
quarrel,"_______, ___",,,,,,,,,,,,,,,,,,,,,,,,
questioned,"1. ____ ____2. ____, ____",,,,,,,,,,,,,,,,,,,,,,,,
quest,"_____, ___",,,,,,,,,,,,,,,,,,,,,,,,
quick,"____, ____",,,,,,,,,,,,,,,,,,,,,,,,
quit,"1. ___2. ______, _____, _____",,,,,,,,,,,,,,,,,,,,,,,,
quite,"____, _____ ___",,,,,,,,,,,,,,,,,,,,,,,,
quote,"____, _____",,,,,,,,,,,,,,,,,,,,,,,,
,R,,,,,,,,,,,,,,,,,,,,,,,,
race,"1. ____, _____2. ___",,,,,,,,,,,,,,,,,,,,,,,,
racial,_____,,,,,,,,,,,,,,,,,,,,,,,,
racism,______,,,,,,,,,,,,,,,,,,,,,,,,
radiant,"____, ____, ____",,,,,,,,,,,,,,,,,,,,,,,,
radiation,_____,,,,,,,,,,,,,,,,,,,,,,,,
radical,"______, ______, ______",,,,,,,,,,,,,,,,,,,,,,,,
rage,"_____, _____, ___",,,,,,,,,,,,,,,,,,,,,,,,
raid,"_____, _____",,,,,,,,,,,,,,,,,,,,,,,,
rail,"1. _____2. ____",,,,,,,,,,,,,,,,,,,,,,,,
raise,"______, _____",,,,,,,,,,,,,,,,,,,,,,,,
random,"_____, ___ ____",,,,,,,,,,,,,,,,,,,,,,,,
range,"1. ____2. ____ __ ____3. ____",,,,,,,,,,,,,,,,,,,,,,,,
rapid,____,,,,,,,,,,,,,,,,,,,,,,,,
rare,"1. ____2. __ _____",,,,,,,,,,,,,,,,,,,,,,,,
rarely,____ ______,,,,,,,,,,,,,,,,,,,,,,,,
rate,"1. ______ , ____ 2. ___ ",,,,,,,,,,,,,,,,,,,,,,,,
rating,_____,,,,,,,,,,,,,,,,,,,,,,,,
reach,"1. _____2. _____3. ______",,,,,,,,,,,,,,,,,,,,,,,,
realm,"____, _____",,,,,,,,,,,,,,,,,,,,,,,,
reap,"_____, _____",,,,,,,,,,,,,,,,,,,,,,,,
reason,"_____, ____",,,,,,,,,,,,,,,,,,,,,,,,
reasoning,"_____, ____, _____",,,,,,,,,,,,,,,,,,,,,,,,
reassert,_____ ____,,,,,,,,,,,,,,,,,,,,,,,,
reassurance,_____,,,,,,,,,,,,,,,,,,,,,,,,
rebellion,___,,,,,,,,,,,,,,,,,,,,,,,,
rebellious,_____ ,,,,,,,,,,,,,,,,,,,,,,,,
recall,"1. _____2. ______ , _____ _____",,,,,,,,,,,,,,,,,,,,,,,,
recent,______ _______,,,,,,,,,,,,,,,,,,,,,,,,
recently,_______,,,,,,,,,,,,,,,,,,,,,,,,
receptive,"____, ____ ",,,,,,,,,,,,,,,,,,,,,,,,
recipient,"____, ____",,,,,,,,,,,,,,,,,,,,,,,,
reciprocal,"____, __-____",,,,,,,,,,,,,,,,,,,,,,,,
recline,"____, _____",,,,,,,,,,,,,,,,,,,,,,,,
recognizable,____ ______,,,,,,,,,,,,,,,,,,,,,,,,
reconcile,"1. _____, ______, _____2. ____ ______",,,,,,,,,,,,,,,,,,,,,,,,
recover,"1. _______, ______2. ____ _____",,,,,,,,,,,,,,,,,,,,,,,,
recruit,_____,,,,,,,,,,,,,,,,,,,,,,,,
redecorate,____ ____,,,,,,,,,,,,,,,,,,,,,,,,
reduce,_____,,,,,,,,,,,,,,,,,,,,,,,,
refer,_______ _...,,,,,,,,,,,,,,,,,,,,,,,,
reference,"1. ________2. _____",,,,,,,,,,,,,,,,,,,,,,,,
refine,"____, ____, ____, ____",,,,,,,,,,,,,,,,,,,,,,,,
reflect,____,,,,,,,,,,,,,,,,,,,,,,,,
reform,"____, _____, ______",,,,,,,,,,,,,,,,,,,,,,,,
refrain,______,,,,,,,,,,,,,,,,,,,,,,,,
refund,____ ____,,,,,,,,,,,,,,,,,,,,,,,,
refuge,"____, ____, _____",,,,,,,,,,,,,,,,,,,,,,,,
refute,_____,,,,,,,,,,,,,,,,,,,,,,,,
regain,____ _____ ,,,,,,,,,,,,,,,,,,,,,,,,
regal,______,,,,,,,,,,,,,,,,,,,,,,,,
regard,"1. ____, _____2. ___, _____ __",,,,,,,,,,,,,,,,,,,,,,,,
regime,____,,,,,,,,,,,,,,,,,,,,,,,,
region,"____, ____",,,,,,,,,,,,,,,,,,,,,,,,
regrettable,____,,,,,,,,,,,,,,,,,,,,,,,,
regulate,"_____, ______",,,,,,,,,,,,,,,,,,,,,,,,
regulation,"1. ____2. ____",,,,,,,,,,,,,,,,,,,,,,,,
rehabilitation,_____,,,,,,,,,,,,,,,,,,,,,,,,
reign,"___, ___, _____",,,,,,,,,,,,,,,,,,,,,,,,
rein,"1. ____, _____2. ______ ",,,,,,,,,,,,,,,,,,,,,,,,
reject,___,,,,,,,,,,,,,,,,,,,,,,,,
rejoice,"_____, _____",,,,,,,,,,,,,,,,,,,,,,,,
relate,"1. ____, _____2. ____, ____",,,,,,,,,,,,,,,,,,,,,,,,
relate to,______ _...,,,,,,,,,,,,,,,,,,,,,,,,
relation,"___, ____ _______",,,,,,,,,,,,,,,,,,,,,,,,
relative,"1. ____1. ____ _____",,,,,,,,,,,,,,,,,,,,,,,,
relatively,_____,,,,,,,,,,,,,,,,,,,,,,,,
release,____,,,,,,,,,,,,,,,,,,,,,,,,
reliable,"____, _____",,,,,,,,,,,,,,,,,,,,,,,,
reliance,"_____, ____",,,,,,,,,,,,,,,,,,,,,,,,
relief,____,,,,,,,,,,,,,,,,,,,,,,,,
relieve,____,,,,,,,,,,,,,,,,,,,,,,,,
reluctant,_____,,,,,,,,,,,,,,,,,,,,,,,,
remain,____,,,,,,,,,,,,,,,,,,,,,,,,
remark,"____, _____",,,,,,,,,,,,,,,,,,,,,,,,
remedy,_____,,,,,,,,,,,,,,,,,,,,,,,,
remind,_____,,,,,,,,,,,,,,,,,,,,,,,,
remnant,______,,,,,,,,,,,,,,,,,,,,,,,,
remote,_____,,,,,,,,,,,,,,,,,,,,,,,,
remove,____,,,,,,,,,,,,,,,,,,,,,,,,
renovate,____,,,,,,,,,,,,,,,,,,,,,,,,
renowned,"____, ______",,,,,,,,,,,,,,,,,,,,,,,,
repair,____,,,,,,,,,,,,,,,,,,,,,,,,
repeatedly,___ ____,,,,,,,,,,,,,,,,,,,,,,,,
repetitious,"____ __ ____, ____",,,,,,,,,,,,,,,,,,,,,,,,
replica,"______, ____ _____",,,,,,,,,,,,,,,,,,,,,,,,
represent,____,,,,,,,,,,,,,,,,,,,,,,,,
repressive,____,,,,,,,,,,,,,,,,,,,,,,,,
reproduce,"____, _____",,,,,,,,,,,,,,,,,,,,,,,,
reprove,"___, ___, _____",,,,,,,,,,,,,,,,,,,,,,,,
repudiate,"1. _____, _____ _______2. ____, ___",,,,,,,,,,,,,,,,,,,,,,,,
reputation,_______,,,,,,,,,,,,,,,,,,,,,,,,
require,___,,,,,,,,,,,,,,,,,,,,,,,,
requirement,_____,,,,,,,,,,,,,,,,,,,,,,,,
rescind,____ ____ __ ____,,,,,,,,,,,,,,,,,,,,,,,,
rescue,____,,,,,,,,,,,,,,,,,,,,,,,,
resemble,___,,,,,,,,,,,,,,,,,,,,,,,,
resemblance,_____,,,,,,,,,,,,,,,,,,,,,,,,
reservation,"1. _____, ____2. ________3. _____ __ ______ ____",,,,,,,,,,,,,,,,,,,,,,,,
reserve,___,,,,,,,,,,,,,,,,,,,,,,,,
reside,_______,,,,,,,,,,,,,,,,,,,,,,,,
resident,____,,,,,,,,,,,,,,,,,,,,,,,,
residue,"_____, ____",,,,,,,,,,,,,,,,,,,,,,,,
resolution,"1. _____, _______, ______2. ______",,,,,,,,,,,,,,,,,,,,,,,,
resolve,___,,,,,,,,,,,,,,,,,,,,,,,,
resourceful,___ ______,,,,,,,,,,,,,,,,,,,,,,,,
resources,______,,,,,,,,,,,,,,,,,,,,,,,,
respect,____,,,,,,,,,,,,,,,,,,,,,,,,
respond,"____, ___",,,,,,,,,,,,,,,,,,,,,,,,
responsibility,______,,,,,,,,,,,,,,,,,,,,,,,,
restatement,_____ ____,,,,,,,,,,,,,,,,,,,,,,,,
restoration,"_____, ______, ____ ____",,,,,,,,,,,,,,,,,,,,,,,,
restrain,____,,,,,,,,,,,,,,,,,,,,,,,,
restrict,_____,,,,,,,,,,,,,,,,,,,,,,,,
restriction,_____,,,,,,,,,,,,,,,,,,,,,,,,
restrictive,_____,,,,,,,,,,,,,,,,,,,,,,,,
result,_____,,,,,,,,,,,,,,,,,,,,,,,,
resume,"1. _____2. _____ ____",,,,,,,,,,,,,,,,,,,,,,,,
retire ,_____,,,,,,,,,,,,,,,,,,,,,,,,
retrain,"_____ ____, _____ ____ _______",,,,,,,,,,,,,,,,,,,,,,,,
reveal,"_____, _____",,,,,,,,,,,,,,,,,,,,,,,,
revert,"___ (____ _____), ___ ______, ___ _____",,,,,,,,,,,,,,,,,,,,,,,,
revise,"____, _____, ____",,,,,,,,,,,,,,,,,,,,,,,,
revolve,"1. ______2. ___ ____, ____3. ____",,,,,,,,,,,,,,,,,,,,,,,,
revolution,_____,,,,,,,,,,,,,,,,,,,,,,,,
reward,"___, ____",,,,,,,,,,,,,,,,,,,,,,,,
ridicule,"_____, ___",,,,,,,,,,,,,,,,,,,,,,,,
rigidity,______,,,,,,,,,,,,,,,,,,,,,,,,
rigorous,"_____, _____",,,,,,,,,,,,,,,,,,,,,,,,
rise,"1. _____, _______, ______ 2. _______",,,,,,,,,,,,,,,,,,,,,,,,
ripen,_____,,,,,,,,,,,,,,,,,,,,,,,,
ritual,"_____, ___, ___",,,,,,,,,,,,,,,,,,,,,,,,
rival,_____,,,,,,,,,,,,,,,,,,,,,,,,
roam,"_____, _____",,,,,,,,,,,,,,,,,,,,,,,,
role,_____,,,,,,,,,,,,,,,,,,,,,,,,
root,____,,,,,,,,,,,,,,,,,,,,,,,,
rotation,"______, _____, ___",,,,,,,,,,,,,,,,,,,,,,,,
rout,"____, ____, ____",,,,,,,,,,,,,,,,,,,,,,,,
routine,_____,,,,,,,,,,,,,,,,,,,,,,,,
rudely,______,,,,,,,,,,,,,,,,,,,,,,,,
ruin,"1. _____2. _____, _____, ____",,,,,,,,,,,,,,,,,,,,,,,,
ruins,______,,,,,,,,,,,,,,,,,,,,,,,,
rumor,_____,,,,,,,,,,,,,,,,,,,,,,,,
rural,____,,,,,,,,,,,,,,,,,,,,,,,,
rush,"1. ______, ______, ______2. ___ __ _______ ______",,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,S,,,,,,,,,,,,,,,,,,,,,,,,
sacred,"____, _____",,,,,,,,,,,,,,,,,,,,,,,,
safe,"1. ____ 2. ____",,,,,,,,,,,,,,,,,,,,,,,,
sage,"1. ___, ____2. _____ (_____)",,,,,,,,,,,,,,,,,,,,,,,,
sail,"1. ______, ____2. ____",,,,,,,,,,,,,,,,,,,,,,,,
salary,______,,,,,,,,,,,,,,,,,,,,,,,,
salient,"____, ____, _____",,,,,,,,,,,,,,,,,,,,,,,,
salvage,"_____, ____",,,,,,,,,,,,,,,,,,,,,,,,
salvation,"_____, ____",,,,,,,,,,,,,,,,,,,,,,,,
sample,"_____, _____, _____",,,,,,,,,,,,,,,,,,,,,,,,
sanctions,"1. _______, ____, ___2. _____, _____, _____",,,,,,,,,,,,,,,,,,,,,,,,
sarcastically,"_______, ____, ________",,,,,,,,,,,,,,,,,,,,,,,,
satisfy,____,,,,,,,,,,,,,,,,,,,,,,,,
satisfaction,_____,,,,,,,,,,,,,,,,,,,,,,,,
saturate,"_____, _____",,,,,,,,,,,,,,,,,,,,,,,,
savor,"___, ___",,,,,,,,,,,,,,,,,,,,,,,,
scale,"1. ____2. ____3. ____4. ___ ____5. ____",,,,,,,,,,,,,,,,,,,,,,,,
scarce,____,,,,,,,,,,,,,,,,,,,,,,,,
scarcely,______ ______,,,,,,,,,,,,,,,,,,,,,,,,
scatter,"____, _____, _____, _____",,,,,,,,,,,,,,,,,,,,,,,,
scene,"1. _____2. ___3. ____ , _____",,,,,,,,,,,,,,,,,,,,,,,,
scenery,"___, ______",,,,,,,,,,,,,,,,,,,,,,,,
scheme,"1. _____, _____2._____, ___, _____",,,,,,,,,,,,,,,,,,,,,,,,
scholar,"_____, _____ ___, ____, ____",,,,,,,,,,,,,,,,,,,,,,,,
scholarship,____,,,,,,,,,,,,,,,,,,,,,,,,
scientific ,____,,,,,,,,,,,,,,,,,,,,,,,,
scold,_____,,,,,,,,,,,,,,,,,,,,,,,,
scope,"____, ____, ___ ",,,,,,,,,,,,,,,,,,,,,,,,
scorch,"_____, _____",,,,,,,,,,,,,,,,,,,,,,,,
scrupulously,"________, _______",,,,,,,,,,,,,,,,,,,,,,,,
scrutinize,"_____, _____, _____",,,,,,,,,,,,,,,,,,,,,,,,
sculptor,_______,,,,,,,,,,,,,,,,,,,,,,,,
seam,"___, _____, ____",,,,,,,,,,,,,,,,,,,,,,,,
season,"1. ____, _____2. ____ ",,,,,,,,,,,,,,,,,,,,,,,,
seat,"____, ____, ______",,,,,,,,,,,,,,,,,,,,,,,,
seclusion,"_______, ________, ______",,,,,,,,,,,,,,,,,,,,,,,,
secrecy,"______, ______",,,,,,,,,,,,,,,,,,,,,,,,
seduction,"_______, ____",,,,,,,,,,,,,,,,,,,,,,,,
seed,"___, _____, _____ ",,,,,,,,,,,,,,,,,,,,,,,,
seek,"____, ____",,,,,,,,,,,,,,,,,,,,,,,,
seem,"____, ____",,,,,,,,,,,,,,,,,,,,,,,,
segment,"_____, ____, ___, ___",,,,,,,,,,,,,,,,,,,,,,,,
seize,"1. _____, _____2. ______3. _____",,,,,,,,,,,,,,,,,,,,,,,,
seldom,______ ______,,,,,,,,,,,,,,,,,,,,,,,,
self-sufficient,"_____, ____ ____",,,,,,,,,,,,,,,,,,,,,,,,
selfish,_____,,,,,,,,,,,,,,,,,,,,,,,,
sense,"1. ___2. ______3. ___, ____",,,,,,,,,,,,,,,,,,,,,,,,
sensitivity,______,,,,,,,,,,,,,,,,,,,,,,,,
sensible,"______, ____",,,,,,,,,,,,,,,,,,,,,,,,
sequel,"_____, ____",,,,,,,,,,,,,,,,,,,,,,,,
sequence,"___, _______, ___",,,,,,,,,,,,,,,,,,,,,,,,
serene,____,,,,,,,,,,,,,,,,,,,,,,,,
serum,_____,_______?,,,,,,,,,,,,,,,,,,,,,,,
session,"1. _____, ___, ____2. ____",,,,,,,,,,,,,,,,,,,,,,,,
settle,"1. ____2. _____, ______",,,,,,,,,,,,,,,,,,,,,,,,
several,"_____, ___",,,,,,,,,,,,,,,,,,,,,,,,
severe,"____, ____",,,,,,,,,,,,,,,,,,,,,,,,
shade,"1. __2. ____3. _____",,,,,,,,,,,,,,,,,,,,,,,,
shaggy,"____, ____",,,,,,,,,,,,,,,,,,,,,,,,
shaky,"____, ____",,,,,,,,,,,,,,,,,,,,,,,,
shallow,"____, ____",,,,,,,,,,,,,,,,,,,,,,,,
shape,"1. ____, ____2. ____",,,,,,,,,,,,,,,,,,,,,,,,
share,"1. _____, ____2. _____",,,,,,,,,,,,,,,,,,,,,,,,
sharp,"1. __,2. ____3. ____ (____)",,,,,,,,,,,,,,,,,,,,,,,,
shatter,"____, ____, ___",,,,,,,,,,,,,,,,,,,,,,,,
shed,"1. ____, ____2.  _____, _____",,,,,,,,,,,,,,,,,,,,,,,,
shell,"1. _____2. ___, _______3. ___4. _____ (__ ____)",,,,,,,,,,,,,,,,,,,,,,,,
shelter,"1. ____, ____, ____2. _____, ___ ____",,,,,,,,,,,,,,,,,,,,,,,,
shiver,___,,,,,,,,,,,,,,,,,,,,,,,,
shortage,"_____, _____",,,,,,,,,,,,,,,,,,,,,,,,
shortcoming,"_____, ___, ______ ",,,,,,,,,,,,,,,,,,,,,,,,
shortcut,_____-___,,,,,,,,,,,,,,,,,,,,,,,,
shout,"1. _____, _____2. ____, ____",,,,,,,,,,,,,,,,,,,,,,,,
shrewd,____,,,,,,,,,,,,,,,,,,,,,,,,
shrink,______,,,,,,,,,,,,,,,,,,,,,,,,
sidestep,"__ _____, _____",,,,,,,,,,,,,,,,,,,,,,,,
siege,____,,,,,,,,,,,,,,,,,,,,,,,,
signal,"1. ___, ____2. _____, ____",,,,,,,,,,,,,,,,,,,,,,,,
significance,"______, ______",,,,,,,,,,,,,,,,,,,,,,,,
silence,"1. _____, ____2. ______",,,,,,,,,,,,,,,,,,,,,,,,
silhouette,_____,,,,,,,,,,,,,,,,,,,,,,,,
silt,___,,,,,,,,,,,,,,,,,,,,,,,,
simplicity,_____,,,,,,,,,,,,,,,,,,,,,,,,
simulate,"1. _____, _____2. ____ _____ (________)",,,,,,,,,,,,,,,,,,,,,,,,
simultaneously,__-_____,,,,,,,,,,,,,,,,,,,,,,,,
sincere,"__, ____, _____",,,,,,,,,,,,,,,,,,,,,,,,
sincerely,_____,,,,,,,,,,,,,,,,,,,,,,,,
singular,"____, ______",,,,,,,,,,,,,,,,,,,,,,,,
sinister,"__, _____, _____, _____, _____",,,,,,,,,,,,,,,,,,,,,,,,
sink,"1. _____, _____2. ____",,,,,,,,,,,,,,,,,,,,,,,,
site,"___, ____",,,,,,,,,,,,,,,,,,,,,,,,
situate,____,,,,,,,,,,,,,,,,,,,,,,,,
skill,"_______, _____, _____",,,,,,,,,,,,,,,,,,,,,,,,
skimp,"___, _____, ______",,,,,,,,,,,,,,,,,,,,,,,,
slander,"______, ______",,,,,,,,,,,,,,,,,,,,,,,,
slant,"1. _____2. _____, ______, __ ____",,,,,,,,,,,,,,,,,,,,,,,,
slavery,"_____, _____",,,,,,,,,,,,,,,,,,,,,,,,
slender,"1. ___, __2. ____",,,,,,,,,,,,,,,,,,,,,,,,
slight,"___, ___",,,,,,,,,,,,,,,,,,,,,,,,
slip,"______, _____",,,,,,,,,,,,,,,,,,,,,,,,
slippery,_____,,,,,,,,,,,,,,,,,,,,,,,,
smooth,"1. ___, ____2. ____",,,,,,,,,,,,,,,,,,,,,,,,
smother,"____, ___",,,,,,,,,,,,,,,,,,,,,,,,
smuggle,_____,,,,,,,,,,,,,,,,,,,,,,,,
sneaky,"_____, ______",,,,,,,,,,,,,,,,,,,,,,,,
snout,"_____, _______, ____ __ ___-____",,,,,,,,,,,,,,,,,,,,,,,,
sober,"___, ____ (___)",,,,,,,,,,,,,,,,,,,,,,,,
society,____,,,,,,,,,,,,,,,,,,,,,,,,
soar,"______, ____, ____",,,,,,,,,,,,,,,,,,,,,,,,
soil,"1. ____, ____2. _____",,,,,,,,,,,,,,,,,,,,,,,,
solace,____,,,,,,,,,,,,,,,,,,,,,,,,
sole,"____, ____",,,,,,,,,,,,,,,,,,,,,,,,
solely,"____, __ ___",,,,,,,,,,,,,,,,,,,,,,,,
solitude,______,,,,,,,,,,,,,,,,,,,,,,,,
solve,_____,,,,,,,,,,,,,,,,,,,,,,,,
solution,______,,,,,,,,,,,,,,,,,,,,,,,,
soothe,"_____, ____",,,,,,,,,,,,,,,,,,,,,,,,
sophisticated,______,,,,,,,,,,,,,,,,,,,,,,,,
sore,"1. ____, ____2. ____, ___",,,,,,,,,,,,,,,,,,,,,,,,
sorrow,"____, ___",,,,,,,,,,,,,,,,,,,,,,,,
sought (seek),____,,,,,,,,,,,,,,,,,,,,,,,,
source,"____, ____",,,,,,,,,,,,,,,,,,,,,,,,
space,"1. ____2. ____, _____3. ____, ___",,,,,,,,,,,,,,,,,,,,,,,,
